LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month,Mean_Payment,Mean_Bill,MP_<_MB/2,Most_Common,Limit_Status,Sept_Amount,Tree1,Tree2,Tree3,Tree4,Tree5,Tree6,Tree7,Tree8,Heredity1
140000,1,3,1,33,0,0,0,0,0,0,140795,93199,64487,53220,50051,45859,3609,2039,3014,2514,1656,1005,0,2306.1666666666665,74601.83333333333,1,0.0,3.098385714285714,1,0,1,0,0,0,0,0,0,0
20000,1,2,2,31,5,4,3,4,3,2,21763,21145,20930,20182,19836,11998,0,549,0,0,0,0,0,91.5,19309.0,1,3.0,5.76525,1,0,0,0,0,0,0,1,0,20
450000,2,2,2,29,0,0,0,0,0,0,371724,359672,56033,31126,18345,12836,10000,1500,2109,5000,1000,3020,0,3771.5,141622.66666666666,1,0.0,1.8380155555555555,1,0,1,0,0,0,0,0,0,0
150000,1,3,1,39,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,-2.0,0.0,0,1,0,0,0,0,0,0,0,4
100000,2,2,1,49,-1,-1,-1,-1,-1,-1,10430,3313,490,6974,8018,8441,3313,490,6974,8018,8441,11461,0,6449.5,6277.666666666667,0,-1.0,-0.01031,1,0,1,0,0,0,0,0,0,1
50000,2,1,2,23,-1,-1,-1,-1,-1,-1,3430,2478,2299,4800,9810,660,2548,2321,4800,9810,660,2980,0,3853.1666666666665,3912.8333333333335,0,-1.0,0.00716,0,0,1,0,0,0,0,0,0,1
190000,2,2,3,29,1,-2,-1,0,0,0,0,0,306,306,306,0,0,306,0,0,0,0,0,51.0,153.0,1,0.0,0.0032210526315789474,0,1,0,0,0,0,0,0,0,-2
50000,2,1,2,24,0,0,0,0,0,0,48712,49587,21604,14772,9238,9588,2269,1286,1200,332,500,1000,0,1097.8333333333333,25583.5,1,0.0,2.93828,1,0,1,0,0,0,0,0,0,0
360000,2,1,1,30,-1,0,-1,-1,-1,-1,13395,28327,6257,2967,1550,0,20460,6257,2967,1550,0,1550,0,5464.0,8749.333333333334,0,-1.0,0.05475555555555556,1,0,1,0,0,0,0,0,0,0
500000,1,1,1,35,0,0,0,0,2,0,143839,117883,100809,104716,101568,92150,4844,5095,7229,0,2843,1200,0,3535.1666666666665,110160.83333333333,1,0.0,1.279508,1,0,1,0,0,0,0,0,0,0
80000,2,3,1,51,0,0,0,0,0,-1,6203,6133,4802,3086,1726,1015,1094,1075,1000,35,1015,390,0,768.1666666666666,3827.5,1,0.0,0.22945,1,0,1,0,0,0,0,0,0,0
50000,1,2,1,45,0,0,0,0,0,0,42614,38426,38318,17331,14916,18459,10016,20070,3006,6002,5000,2500,0,7765.666666666667,28344.0,1,0.0,2.4694,1,0,1,0,0,0,0,0,0,0
410000,1,1,2,32,0,0,0,0,0,0,198954,202511,199348,201941,101962,104837,7000,9000,9000,5000,5000,5000,0,6666.666666666667,168258.83333333334,1,0.0,2.3647634146341465,1,0,1,0,0,0,0,0,0,0
230000,2,0,2,47,-1,-1,-1,2,-1,-1,8394,5743,1336,255,5425,4838,5743,1598,0,5425,4838,3840,0,3574.0,4331.833333333333,0,-1.0,0.019769565217391306,1,1,0,0,0,0,0,0,0,1
340000,2,1,1,30,0,0,0,0,0,0,351828,280067,259651,243094,223907,216912,30076,25118,20085,10041,8184,6626,0,16688.333333333332,262576.5,1,0.0,4.33920294117647,1,0,1,0,0,0,0,0,0,0
150000,2,3,2,30,0,0,0,0,0,0,24523,22224,20880,17305,16094,18516,2029,3030,3118,3003,3040,2050,0,2711.6666666666665,19923.666666666668,1,0.0,0.68848,1,0,1,0,0,0,0,0,0,0
500000,2,1,1,38,-1,2,-1,-1,-1,0,600,300,501,300,600,450,0,501,300,600,300,600,0,383.5,458.5,0,-1.0,0.0009,1,0,0,1,0,0,0,0,0,-2
350000,1,3,1,31,1,2,2,0,0,0,225434,214620,170451,156922,143062,224387,11000,0,5500,5000,100000,0,0,20250.0,189146.0,1,0.0,2.89536,1,0,0,1,0,0,0,0,0,2
270000,2,1,1,31,0,0,0,0,0,0,86716,88329,91247,91823,93164,95211,6000,6005,4000,4000,4000,5000,0,4834.166666666667,91081.66666666667,1,0.0,1.916611111111111,0,0,1,0,0,0,0,0,0,0
180000,2,2,3,41,0,0,0,0,0,0,141137,130282,109327,77752,66202,58557,5481,4399,3008,2150,2147,2120,0,3217.5,97209.5,1,0.0,3.1330666666666667,1,0,1,0,0,0,0,0,0,0
500000,2,1,1,37,0,0,0,0,0,0,501369,505753,395522,312315,265742,248866,17204,13173,10143,7519,8866,7154,0,10676.5,371594.5,1,0.0,4.331016,1,0,1,0,0,0,0,0,0,0
210000,1,1,2,39,-2,-2,-2,-2,-2,-2,28435,7615,0,0,0,0,7637,0,0,0,0,14263,0,3650.0,6008.333333333333,0,-2.0,0.06738095238095237,1,1,0,0,0,0,0,0,0,4
50000,1,2,1,42,0,0,0,0,0,2,35892,32546,30660,31320,36227,35569,2007,2000,1500,5400,0,3000,0,2317.8333333333335,33702.333333333336,1,0.0,3.76614,1,0,1,0,0,0,0,0,0,0
50000,1,3,2,40,0,0,0,0,2,2,55397,55877,57335,59595,55949,51225,2000,2356,3494,2000,0,1725,0,1929.1666666666667,55896.333333333336,1,0.0,6.47606,0,0,1,0,0,0,0,0,0,0
450000,1,3,1,39,0,0,0,-1,-1,0,28499,13119,9983,4904,45338,51646,1214,3109,4904,45338,7570,11729,0,12310.666666666666,25581.5,1,0.0,0.17694444444444443,1,0,1,0,0,0,0,0,0,0
300000,2,3,1,37,1,2,2,-1,-1,-1,5975,5312,1896,1523,2559,2881,1905,5,1527,2569,2889,2074,0,1828.1666666666667,3357.6666666666665,0,-1.0,0.03059,1,0,0,1,0,0,0,0,0,2
180000,2,1,2,31,-1,-1,-1,-1,-1,-1,766,243,243,243,4889,243,243,243,243,4889,243,13868,0,3288.1666666666665,1104.5,0,-1.0,-0.07278888888888889,0,1,0,0,0,0,0,0,0,1
100000,1,1,2,39,-1,-1,-1,-1,-1,-1,1442,1261,1411,1411,1075,1139,1261,1411,1411,1075,1500,0,0,1109.6666666666667,1289.8333333333333,0,-1.0,0.01081,1,0,1,0,0,0,0,0,0,1
160000,2,2,2,30,0,0,-1,0,0,0,13680,6729,119200,115893,113309,110073,2019,120377,3612,3100,3200,2558,0,22477.666666666668,79814.0,1,0.0,2.1501125,0,0,1,0,0,0,0,0,0,0
10000,1,3,1,41,1,4,3,2,0,0,10711,10399,10092,9700,10000,9900,0,0,0,302,0,0,0,50.333333333333336,10133.666666666666,1,0.0,6.05,1,0,0,1,0,0,0,0,0,4
230000,2,1,1,43,-2,-2,-2,-1,0,0,0,0,200,43998,23400,13000,0,200,43998,52,13000,26200,0,13908.333333333334,13433.0,0,-2.0,-0.0124,0,0,1,0,0,0,0,0,0,4
260000,2,1,2,33,-2,-2,-2,-2,-2,-2,2537,2587,3727,1885,2013,3001,2606,3749,1900,2025,3019,2680,0,2663.1666666666665,2625.0,0,-2.0,-0.0008807692307692308,0,0,1,0,0,0,0,0,0,4
240000,1,1,1,50,-1,-1,-2,-2,-2,-2,2115,0,0,0,0,0,0,0,0,0,0,0,0,0.0,352.5,1,-2.0,0.0088125,1,1,0,0,0,0,0,0,0,1
100000,1,1,2,26,0,0,0,2,0,0,96644,99119,97195,69299,68030,63601,5000,5900,0,2500,2500,2600,0,3083.3333333333335,82314.66666666667,1,0.0,4.75388,1,1,0,0,0,0,0,0,0,0
80000,2,3,2,51,0,0,0,0,0,0,77499,77838,77790,80528,23567,25171,3000,3013,4000,2000,2000,2000,0,2668.8333333333335,60398.833333333336,1,0.0,4.32975,1,0,1,0,0,0,0,0,0,0
450000,2,1,2,32,-2,-2,-2,-2,-2,-2,1249,142,5965,991,-9,1974,142,6001,996,0,1983,7228,0,2725.0,1718.6666666666667,0,-2.0,-0.013417777777777778,0,0,1,0,0,0,0,0,0,4
110000,1,2,1,26,0,0,0,0,0,0,52489,53615,54803,55729,57001,58036,2000,2050,1895,2068,1982,1995,0,1998.3333333333333,55278.833333333336,1,0.0,2.906209090909091,0,0,1,0,0,0,0,0,0,0
80000,1,2,2,38,0,0,0,0,0,0,89394,81223,77198,29891,34528,35229,5000,19153,1500,10000,1274,1275,0,6367.0,57910.5,1,0.0,3.8657625,1,0,1,0,0,0,0,0,0,0
150000,1,1,2,26,0,0,0,2,0,0,29712,28045,31732,26989,33624,29786,3200,6300,0,10000,2000,2000,0,3916.6666666666665,29981.333333333332,1,0.0,1.0425866666666668,0,1,0,0,0,0,0,0,0,0
200000,2,1,1,34,-2,-2,-2,-2,-2,-2,0,0,0,0,0,35979,0,0,0,0,35979,6191,0,7028.333333333333,5996.5,0,-2.0,-0.030955,0,1,0,0,0,0,0,0,0,4
30000,2,1,2,24,1,2,0,0,2,2,29846,28941,18643,19005,12751,10891,0,4000,600,0,2500,419,0,1253.1666666666667,20012.833333333332,1,2.0,3.751933333333333,1,0,0,0,1,0,0,0,0,2
330000,2,1,2,33,1,-2,-2,-1,2,2,-200,-200,-200,150,150,350,0,0,350,0,200,0,0,91.66666666666667,8.333333333333334,0,-2.0,-0.0015151515151515152,0,1,0,0,0,0,0,0,0,-2
300000,2,1,2,26,-1,0,0,0,0,0,48729,47798,57390,36766,38586,84950,7500,18340,1000,3000,57543,64629,0,25335.333333333332,52369.833333333336,1,0.0,0.54069,0,0,1,0,0,0,0,0,0,0
430000,2,1,2,29,0,0,-1,0,0,0,34785,0,18518,16574,12215,6660,0,18518,5,244,1038,41500,0,10217.5,14792.0,0,0.0,0.06383023255813954,1,1,0,0,0,0,0,0,0,0
500000,2,2,1,37,0,0,0,0,0,0,58448,60182,67153,64079,64120,61295,5000,10000,5169,2322,5174,0,0,4610.833333333333,62546.166666666664,1,0.0,0.695224,0,0,1,0,0,0,0,0,0,0
50000,1,1,2,32,2,0,0,2,0,0,16434,17550,21414,20774,21177,21612,1688,4476,0,888,788,1088,0,1488.0,19826.833333333332,1,0.0,2.20066,0,0,0,0,0,0,1,0,0,0
50000,1,1,1,25,0,0,0,2,0,0,47053,5472,5891,6595,8400,4041,2000,1500,1000,2000,1000,1000,0,1416.6666666666667,12908.666666666666,1,0.0,1.37904,1,0,1,0,0,0,0,0,0,0
110000,1,2,2,24,0,0,0,0,0,0,105927,65575,66495,67415,68538,78911,2375,2395,2397,2583,12000,2583,0,4055.5,75476.83333333333,1,0.0,3.895709090909091,1,0,1,0,0,0,0,0,0,0
240000,2,2,1,32,1,-2,-1,-1,-1,-1,0,0,493,-5,574,3509,0,493,0,579,3509,1198,0,963.1666666666666,761.8333333333334,0,-1.0,-0.005033333333333333,0,1,0,0,0,0,0,0,0,-2
100000,2,2,1,26,0,0,0,0,0,0,1962,4911,5933,6942,7102,9966,3000,1106,1115,275,3000,412,0,1484.6666666666667,6136.0,1,0.0,0.27908,0,0,1,0,0,0,0,0,0,0
80000,2,2,2,22,0,0,0,0,0,0,80491,64868,51936,30165,30145,30085,2327,1687,1052,1076,1121,1237,0,1416.6666666666667,47948.333333333336,1,0.0,3.489875,1,0,1,0,0,0,0,0,0,0
50000,1,2,1,32,0,0,0,0,0,0,46253,46117,46919,17459,17825,18193,1998,3000,625,647,664,649,0,1263.8333333333333,32127.666666666668,1,0.0,3.70366,1,0,1,0,0,0,0,0,0,0
170000,2,2,1,39,-1,-1,-1,2,-1,-1,2947,4132,3967,592,864,1738,4134,3967,0,864,1738,1788,0,2081.8333333333335,2373.3333333333335,0,-1.0,0.010288235294117647,1,1,0,0,0,0,0,0,0,1
200000,2,1,2,32,0,0,0,0,0,0,14254,19902,17822,15022,13051,10790,10000,2000,1000,2000,1790,1000,0,2965.0,15140.166666666666,1,0.0,0.365255,0,0,1,0,0,0,0,0,0,0
300000,2,1,1,37,0,-1,-1,-1,-2,-1,4476,2521,3529,-5364,-8943,4057,3017,4506,0,0,14000,12000,0,5587.166666666667,46.0,0,-1.0,-0.11082333333333333,1,1,0,0,0,0,0,0,0,0
120000,1,1,1,37,0,0,0,0,0,0,68329,72212,79334,80531,80944,78771,5000,9000,3000,3100,3000,3000,0,4350.0,76686.83333333333,1,0.0,3.6168416666666667,0,0,1,0,0,0,0,0,0,0
170000,2,3,1,61,1,-2,-2,-2,-1,-1,0,0,0,0,200,0,0,0,0,200,0,0,0,33.333333333333336,33.333333333333336,0,-2.0,0.0,0,1,0,0,0,0,0,0,0,-2
280000,1,2,2,28,-2,-2,-2,-2,-2,-2,1799,1768,1848,-8,1601,-3,1782,1857,0,1609,3,1077,0,1054.6666666666667,1167.5,0,-2.0,0.002417857142857143,1,1,0,0,0,0,0,0,0,4
30000,2,1,2,26,-1,-1,-1,-1,-1,-1,2089,780,1152,780,2678,1225,780,1152,780,2678,1544,1588,0,1420.3333333333333,1450.6666666666667,0,-1.0,0.006066666666666666,1,0,1,0,0,0,0,0,0,1
310000,2,2,1,29,0,0,0,0,0,0,182202,162547,140911,111881,78759,78877,5118,3758,3901,2206,3089,3023,0,3515.8333333333335,125862.83333333333,1,0.0,2.3680064516129034,1,0,1,0,0,0,0,0,0,0
30000,2,3,1,23,0,0,2,0,0,0,27552,30686,29915,29994,27310,27778,3605,2,1731,1093,1026,1964,0,1570.1666666666667,28872.5,1,0.0,5.460466666666667,0,0,1,0,0,0,0,0,0,0
70000,1,1,2,29,0,0,0,2,0,0,32938,33635,35287,36002,37096,37999,1548,2200,1600,2000,1500,3000,0,1974.6666666666667,35492.833333333336,1,0.0,2.8729857142857145,0,0,1,0,0,0,0,0,0,0
140000,1,2,1,32,0,0,0,0,0,0,134236,134663,137485,137450,135638,136375,6300,6500,6300,6000,5200,5000,0,5883.333333333333,135974.5,1,0.0,5.575335714285714,0,0,1,0,0,0,0,0,0,0
500000,2,2,1,37,0,0,0,0,0,0,71455,79079,73583,79481,115741,168319,10004,10104,10000,40000,10000,10000,0,15018.0,97943.0,1,0.0,0.9951,0,0,1,0,0,0,0,0,0,0
70000,2,3,1,29,0,0,0,0,0,0,22438,24055,25359,26434,26993,28551,2000,2000,1500,1000,2000,1500,0,1666.6666666666667,25638.333333333332,1,0.0,2.0547142857142857,0,0,1,0,0,0,0,0,0,0
160000,2,1,1,39,1,-1,-1,-1,0,0,-16,1955,2047,15848,16848,0,1971,2047,15848,1000,0,0,0,3477.6666666666665,6113.666666666667,0,-1.0,0.09885,0,0,1,0,0,0,0,0,0,-1
50000,1,3,2,27,0,0,0,0,0,0,49684,45435,37636,32034,28133,23860,1961,2075,1294,999,934,849,0,1352.0,36130.333333333336,1,0.0,4.1734,1,0,1,0,0,0,0,0,0,0
130000,1,3,1,44,0,0,0,0,0,0,123770,122189,118909,84865,86846,88069,4600,4871,3500,3500,3500,3100,0,3845.1666666666665,104108.0,1,0.0,4.627515384615385,1,0,1,0,0,0,0,0,0,0
50000,2,2,2,28,2,2,0,0,0,-2,16639,16041,12151,4963,0,0,14,1505,2000,0,0,0,0,586.5,8299.0,1,0.0,0.9255,1,0,0,0,0,0,1,0,0,4
90000,2,1,2,27,-2,-2,2,2,-2,-2,1179,6346,4607,-6,-2153,-4306,7020,2980,3000,0,0,0,0,2166.6666666666665,944.5,0,-2.0,-0.08147777777777777,1,0,1,0,0,0,0,0,0,4
20000,1,2,2,24,2,0,0,0,0,0,16794,17496,18981,19608,19600,20000,1288,1773,1400,392,400,0,0,875.5,18746.5,1,0.0,5.3613,0,0,0,0,0,0,1,0,0,0
290000,1,3,1,61,0,0,0,0,0,0,281967,288456,296084,218399,200461,204637,10492,12447,8973,6761,6983,5980,0,8606.0,248334.0,1,0.0,4.959889655172414,1,0,1,0,0,0,0,0,0,0
350000,2,2,1,34,1,2,0,0,0,0,23589,22585,23263,23755,23900,25016,0,1700,1500,1000,2000,1500,0,1283.3333333333333,23684.666666666668,1,0.0,0.38402285714285717,0,0,0,1,0,0,0,0,0,2
70000,2,1,1,22,0,0,0,0,2,0,64525,66548,67344,62083,29914,29406,3093,2594,4512,0,1070,1065,0,2055.6666666666665,53303.333333333336,1,0.0,4.392657142857143,1,0,1,0,0,0,0,0,0,0
100000,1,1,2,30,0,0,0,0,-2,-2,96846,98364,21255,0,0,0,5055,1049,0,0,0,0,0,1017.3333333333334,36077.5,1,0.0,2.10361,1,1,0,0,0,0,0,0,0,0
100000,1,2,1,32,0,0,0,0,0,0,60121,61575,63028,43360,41906,42831,2454,2700,1712,1500,1600,1600,0,1927.6666666666667,52136.833333333336,1,0.0,3.01255,1,0,1,0,0,0,0,0,0,0
250000,2,2,1,44,0,0,0,0,0,0,47463,41059,35722,29492,23522,16815,3000,4000,3000,3000,2000,2000,0,2833.3333333333335,32345.5,1,0.0,0.708292,1,0,1,0,0,0,0,0,0,0
230000,2,2,2,51,0,0,0,0,0,0,213457,226037,213682,219016,172407,163690,17000,10000,10000,10000,10000,10000,0,11166.666666666666,201381.5,1,0.0,4.962126086956522,1,0,1,0,0,0,0,0,0,0
100000,2,3,1,39,-1,-1,0,-1,-1,-1,380,1357,1977,380,380,1253,1357,1000,380,380,1253,2434,0,1134.0,954.5,0,-1.0,-0.01077,0,1,0,0,0,0,0,0,0,1
200000,2,1,2,33,-1,-1,-1,-1,-2,-2,390,0,780,0,0,0,0,780,0,0,0,0,0,130.0,195.0,0,-1.0,0.00195,1,1,0,0,0,0,0,0,0,1
20000,2,2,2,23,0,0,0,0,2,0,13858,15121,16472,18087,17499,17868,1500,1600,2200,0,650,1450,0,1233.3333333333333,16484.166666666668,1,0.0,4.57525,0,0,1,0,0,0,0,0,0,0
80000,2,3,3,43,0,0,-2,-2,-1,-1,3408,-11,-11,-11,2429,905,0,0,0,2440,905,9213,0,2093.0,1118.1666666666667,0,-2.0,-0.0731125,1,1,0,0,0,0,0,0,0,0
90000,2,3,2,42,0,0,0,0,0,0,91240,92795,93557,47166,48406,49695,4895,4806,1547,3000,3000,1720,0,3161.3333333333335,70476.5,1,0.0,4.487677777777778,1,0,1,0,0,0,0,0,0,0
60000,1,1,1,34,0,0,0,0,0,0,37749,38785,39803,40837,41783,42689,1948,1966,2000,1600,1600,1600,0,1785.6666666666667,40274.333333333336,1,0.0,3.848866666666667,0,0,1,0,0,0,0,0,0,0
160000,2,1,1,34,1,-2,-2,-1,-1,-2,5520,0,0,708,560,0,0,0,708,560,0,560,0,304.6666666666667,1131.3333333333333,1,-2.0,0.031,1,0,1,0,0,0,0,0,0,-2
240000,2,2,1,35,-2,-2,-2,-2,-2,-2,3862,1780,0,0,0,0,1783,0,0,0,0,2500,0,713.8333333333334,940.3333333333334,0,-2.0,0.0056625,1,1,0,0,0,0,0,0,0,4
200000,2,2,2,46,0,0,0,0,0,0,120343,121198,123834,136629,139504,142269,4342,4593,14955,5143,5166,5349,0,6591.333333333333,130629.5,1,0.0,3.721145,0,0,1,0,0,0,0,0,0,0
80000,1,1,2,44,0,0,0,0,0,0,77156,77494,77438,67054,60270,56138,3000,2734,2215,4000,2036,2121,0,2684.3333333333335,69258.33333333333,1,0.0,4.99305,1,0,1,0,0,0,0,0,0,0
150000,2,3,2,33,0,0,0,0,0,0,9516,9998,8336,6462,5872,1242,1100,1074,1000,1000,1000,0,0,862.3333333333334,6904.333333333333,1,0.0,0.24168,1,0,1,0,0,0,0,0,0,0
350000,1,2,2,33,0,0,0,2,0,0,25507,26580,31802,30895,27158,27927,1800,6000,0,1000,1000,668,0,1744.6666666666667,28311.5,1,0.0,0.4554314285714286,0,1,0,0,0,0,0,0,0,0
380000,1,1,1,37,0,0,0,0,0,0,83852,88996,77202,70542,65765,58355,13014,5068,2100,1947,2000,1600,0,4288.166666666667,74118.66666666667,1,0.0,1.1025868421052631,1,0,1,0,0,0,0,0,0,0
200000,1,1,1,38,-2,-2,-2,-2,-2,-2,2780,2645,-10,4115,1315,0,2658,0,4125,1315,0,0,0,1349.6666666666667,1807.5,0,-2.0,0.013735,1,0,1,0,0,0,0,0,0,4
460000,2,1,2,35,1,-1,-1,0,0,0,-14,693,224526,227242,228126,143697,707,224850,5000,4593,23584,0,0,43122.333333333336,137378.33333333334,1,0.0,1.2294260869565217,0,0,1,0,0,0,0,0,0,-1
280000,2,3,2,35,0,0,-1,0,0,0,5716,0,105082,105908,98380,93649,0,105082,4172,3408,3489,5295,0,20241.0,68122.5,1,0.0,1.0260321428571428,0,0,1,0,0,0,0,0,0,0
290000,2,1,1,40,0,0,0,0,0,0,192432,192512,193999,157500,147150,146936,8000,9008,6000,5000,5200,5100,0,6384.666666666667,171754.83333333334,1,0.0,3.421451724137931,1,0,1,0,0,0,0,0,0,0
280000,1,1,1,51,-1,-1,-1,-1,-1,-1,1323,445,393,294,223,13635,445,393,294,223,13635,16192,0,5197.0,2718.8333333333335,0,-1.0,-0.05310357142857143,0,1,0,0,0,0,0,0,0,1
240000,1,1,2,33,0,0,0,0,0,0,124105,127593,130474,134296,139117,143634,7000,5000,6000,7000,7000,5445,0,6240.833333333333,133203.16666666666,1,0.0,3.1740583333333334,0,0,1,0,0,0,0,0,0,0
50000,1,2,2,23,-1,-1,0,0,0,0,3352,18685,15868,11348,7822,7357,18685,1105,500,500,500,1000,0,3715.0,10738.666666666666,1,0.0,0.84284,0,0,1,0,0,0,0,0,0,1
80000,2,2,1,23,0,0,0,0,0,0,72364,64105,45867,29713,30270,27912,2756,1366,1000,1023,1093,700,0,1323.0,45038.5,1,0.0,3.2786625,1,0,1,0,0,0,0,0,0,0
80000,1,1,2,35,0,0,0,0,-1,-1,37642,39947,43773,31830,7848,390,4000,5000,5500,7848,390,780,0,3919.6666666666665,26905.0,1,0.0,1.7239,1,0,1,0,0,0,0,0,0,0
170000,2,1,2,31,-2,-2,-2,-2,-2,-2,757,4319,1489,362,451,620,4319,1499,362,451,620,1400,0,1441.8333333333333,1333.0,0,-2.0,-0.0038411764705882354,0,1,0,0,0,0,0,0,0,4
80000,1,1,2,26,0,0,0,0,0,0,74487,76126,69856,48816,48476,48448,7576,3000,1800,1800,2000,2000,0,3029.3333333333335,61034.833333333336,1,0.0,4.3504125,1,0,1,0,0,0,0,0,0,0
170000,1,1,1,44,-1,-1,-1,-1,-1,-1,6569,29039,1716,2442,14605,2895,29069,1721,2442,14605,2895,9608,0,10056.666666666666,9544.333333333334,0,-1.0,-0.01808235294117647,0,0,1,0,0,0,0,0,0,1
240000,2,1,1,35,-1,-1,0,-1,0,-1,5770,10412,4578,5928,5619,13227,10420,1150,5928,3619,13227,7764,0,7018.0,7589.0,0,-1.0,0.014275,0,0,1,0,0,0,0,0,0,1
70000,2,2,2,26,0,0,2,0,0,0,28986,30609,31301,31980,32813,33614,2400,1500,1500,1500,1500,1500,0,1650.0,31550.5,1,0.0,2.5629,0,0,1,0,0,0,0,0,0,0
230000,2,2,1,30,0,0,0,0,0,0,218495,223270,227807,218047,223370,206937,8270,8366,6012,9474,6962,24338,0,10570.333333333334,219654.33333333334,1,0.0,5.454365217391304,0,0,1,0,0,0,0,0,0,0
20000,1,3,2,22,0,0,0,0,0,0,11242,11070,11788,9607,9191,0,1282,1000,192,184,0,0,0,443.0,8816.333333333334,1,0.0,2.512,1,1,0,0,0,0,0,0,0,0
280000,2,2,2,28,0,0,0,0,0,0,119587,122015,130286,130705,132964,136400,4411,10282,3006,2659,3436,1000,0,4132.333333333333,128659.5,1,0.0,2.668439285714286,0,0,1,0,0,0,0,0,0,0
150000,2,1,2,30,-2,-2,-2,-2,-2,-2,12516,5568,6106,4357,0,0,5568,6106,4357,0,0,0,0,2671.8333333333335,4757.833333333333,0,-2.0,0.08344,1,0,1,0,0,0,0,0,0,4
80000,2,2,1,43,2,0,0,0,0,0,68612,69971,71846,72372,73475,74842,3100,3600,2720,2400,2224,3990,0,3005.6666666666665,71853.0,1,0.0,5.16355,0,0,0,0,0,0,1,0,0,0
280000,2,3,1,45,0,0,0,0,0,0,294995,316345,334612,262625,172344,182776,26345,24612,22625,12344,12776,11852,0,18425.666666666668,260616.16666666666,1,0.0,5.189796428571428,1,0,1,0,0,0,0,0,0,0
70000,1,1,2,24,0,0,0,0,0,-1,12109,15328,16854,16741,15154,6060,5328,4000,3000,3007,6060,5133,0,4421.333333333333,13707.666666666666,1,0.0,0.7959714285714286,0,0,1,0,0,0,0,0,0,0
50000,2,3,1,45,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,-2.0,0.0,0,1,0,0,0,0,0,0,0,-2
110000,2,2,1,35,0,0,0,0,0,0,28969,29568,30379,84257,84762,86139,1500,1706,55000,3200,3300,3300,0,11334.333333333334,57345.666666666664,1,0.0,2.509709090909091,0,0,1,0,0,0,0,0,0,0
140000,2,1,1,39,-2,-2,-2,-2,-2,-2,4654,5525,5088,4480,2338,4250,5525,5088,4480,2338,4733,22566,0,7455.0,4389.166666666667,0,-2.0,-0.13139285714285714,1,0,1,0,0,0,0,0,0,4
